"StateAbbr","Location.ID","Location","Value","Rank","Anomaly..1901.2000.base.period.","X1901.2000.Mean","StateDesc","County"
"CO","CO-075","Logan County",48.6417,44,-0.2556,48.9,"Colorado","Logan County"
"CO","CO-077","Mesa County",47.3417,96,1.7501,45.6,"Colorado","Mesa County"
"CO","CO-079","Mineral County",36.575,100,1.2298,35.3,"Colorado","Mineral County"
"CO","CO-081","Moffat County",43.2333,82,0.8114,42.4,"Colorado","Moffat County"
"CO","CO-057","Jackson County",36.225,78,0.6158,35.6,"Colorado","Jackson County"
"CO","CO-059","Jefferson County",45.5917,60,0.0183,45.6,"Colorado","Jefferson County"
"CO","CO-061","Kiowa County",51.675,60,0.0507,51.6,"Colorado","Kiowa County"
"CO","CO-063","Kit Carson County",50.45,76,0.4882,50,"Colorado","Kit Carson County"
"CO","CO-065","Lake County",34.1583,83,0.3782,33.8,"Colorado","Lake County"
"CO","CO-067","La Plata County",44.525,97,1.0583,43.5,"Colorado","La Plata County"
"CO","CO-069","Larimer County",41.95,88,1.0379,40.9,"Colorado","Larimer County"
"CO","CO-071","Las Animas County",51.1583,92,0.8503,50.3,"Colorado","Las Animas County"
"CO","CO-089","Otero County",53.1083,87,0.7172,52.4,"Colorado","Otero County"
"CO","CO-083","Montezuma County",48.4167,94,1.0693,47.3,"Colorado","Montezuma County"
"CO","CO-085","Montrose County",47.425,98,1.7841,45.6,"Colorado","Montrose County"
"CO","CO-087","Morgan County",49.0167,88,1.1164,47.9,"Colorado","Morgan County"
